station_complex,year,month,day_type,ridership
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-07-01,2,53022
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-01-01,2,309574
"59 St-Columbus Circle (A,B,C,D,1)",2024,2024-07-01,2,247684
Flushing-Main St (7),2023,2023-05-01,2,233923
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-07-01,2,291857
"34 St-Penn Station (A,C,E)",2023,2023-09-01,2,296069
"34 St-Penn Station (A,C,E)",2023,2023-06-01,2,260026
Flushing-Main St (7),2023,2023-08-01,2,237259
"34 St-Penn Station (A,C,E)",2022,2022-10-01,2,298462
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-10-01,2,257980
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-05-01,2,396961
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-04-01,2,136668
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-08-01,2,124231
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-08-01,2,372528
"34 St-Penn Station (1,2,3)",2021,2021-11-01,2,228101
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-01-01,2,92801
"Grand Central-42 St (S,4,5,6,7)",2020,2020-09-01,2,95039
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-05-01,2,404773
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-05-01,2,246907
"Grand Central-42 St (S,4,5,6,7)",2023,2023-01-01,2,333639
"Grand Central-42 St (S,4,5,6,7)",2022,2022-09-01,2,330753
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-08-01,2,210733
"34 St-Penn Station (A,C,E)",2020,2020-09-01,2,77258
"Grand Central-42 St (S,4,5,6,7)",2024,2024-01-01,2,313807
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-06-01,2,334047
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-10-01,2,442490
"34 St-Penn Station (1,2,3)",2020,2020-08-01,2,83848
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-03-01,2,142237
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-10-01,2,828735
"Grand Central-42 St (S,4,5,6,7)",2023,2023-11-01,2,439096
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-07-01,2,105515
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-09-01,2,324940
"34 St-Penn Station (A,C,E)",2021,2021-04-01,2,116259
"34 St-Penn Station (A,C,E)",2020,2020-08-01,2,78355
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-03-01,2,105324
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-06-01,2,266854
"34 St-Penn Station (1,2,3)",2023,2023-11-01,2,247668
"34 St-Penn Station (1,2,3)",2023,2023-09-01,2,264421
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-12-01,2,303447
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-06-01,2,100946
"Grand Central-42 St (S,4,5,6,7)",2021,2021-08-01,2,212918
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-04-01,2,260362
"Grand Central-42 St (S,4,5,6,7)",2023,2023-02-01,2,288692
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-01-01,2,235655
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-11-01,2,258769
"Grand Central-42 St (S,4,5,6,7)",2022,2022-11-01,2,340734
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-08-01,2,99559
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-11-01,2,166299
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-01-01,2,605919
"34 St-Penn Station (1,2,3)",2023,2023-04-01,2,292174
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-04-01,2,227781
"Grand Central-42 St (S,4,5,6,7)",2022,2022-04-01,2,312898
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-04-01,2,280764
"Grand Central-42 St (S,4,5,6,7)",2021,2021-01-01,2,100888
