station_complex,year,month,day_type,ridership
"34 St-Penn Station (A,C,E)",2022,2022-08-01,1,1039937
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-07-01,1,718255
"Grand Central-42 St (S,4,5,6,7)",2022,2022-10-01,1,1861649
"Grand Central-42 St (S,4,5,6,7)",2024,2024-04-01,1,2420889
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-03-01,1,1400065
"34 St-Penn Station (A,C,E)",2022,2022-01-01,1,637891
"34 St-Penn Station (A,C,E)",2022,2022-11-01,1,1116877
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-09-01,1,1305753
"Grand Central-42 St (S,4,5,6,7)",2020,2020-12-01,1,595298
"Grand Central-42 St (S,4,5,6,7)",2022,2022-07-01,1,1585425
"34 St-Penn Station (A,C,E)",2021,2021-05-01,1,542355
