station_complex,month,day_type,ridership,lines
"135 St (2,3)",5,weekday,165943.0,"2,3"
"135 St (2,3)",5,weekend,36188.0,"2,3"
"135 St (2,3)",6,weekday,148342.0,"2,3"
"135 St (2,3)",6,weekend,37374.0,"2,3"
"135 St (2,3)",7,weekday,137994.33333333334,"2,3"
"135 St (2,3)",7,weekend,35138.666666666664,"2,3"
"135 St (2,3)",8,weekday,144416.33333333334,"2,3"
"135 St (2,3)",8,weekend,30816.333333333332,"2,3"
"135 St (2,3)",9,weekday,147613.33333333334,"2,3"
"135 St (2,3)",9,weekend,33849.333333333336,"2,3"
"135 St (2,3)",10,weekday,153646.0,"2,3"
"135 St (2,3)",10,weekend,34743.0,"2,3"
"135 St (2,3)",11,weekday,154361.0,"2,3"
"135 St (2,3)",11,weekend,34470.0,"2,3"
"135 St (2,3)",12,weekday,147311.0,"2,3"
"135 St (2,3)",12,weekend,40569.5,"2,3"
"135 St (C,B)",1,weekday,68463.33333333333,"C,B"
"135 St (C,B)",1,weekend,12184.0,"C,B"
"135 St (C,B)",2,weekday,71000.66666666667,"C,B"
"135 St (C,B)",2,weekend,12436.0,"C,B"
"135 St (C,B)",3,weekday,85151.33333333333,"C,B"
"135 St (C,B)",3,weekend,11938.0,"C,B"
"135 St (C,B)",4,weekday,75147.33333333333,"C,B"
"135 St (C,B)",4,weekend,15194.666666666666,"C,B"
"135 St (C,B)",5,weekday,83636.66666666667,"C,B"
"135 St (C,B)",5,weekend,14513.0,"C,B"
"135 St (C,B)",6,weekday,72710.0,"C,B"
"135 St (C,B)",6,weekend,15767.333333333334,"C,B"
"135 St (C,B)",7,weekday,64819.333333333336,"C,B"
"135 St (C,B)",7,weekend,16119.333333333334,"C,B"
"135 St (C,B)",8,weekday,69048.33333333333,"C,B"
"135 St (C,B)",8,weekend,18072.333333333332,"C,B"
"135 St (C,B)",9,weekday,82836.0,"C,B"
"135 St (C,B)",9,weekend,15736.333333333334,"C,B"
"135 St (C,B)",10,weekday,84945.66666666667,"C,B"
"135 St (C,B)",10,weekend,16798.0,"C,B"
"135 St (C,B)",11,weekday,80945.0,"C,B"
"135 St (C,B)",11,weekend,13200.0,"C,B"
"135 St (C,B)",12,weekday,71106.0,"C,B"
